feature,avg_abs_weight
rerror_rate,0.0650219685771452
is_guest_login,0.05498557862984763
same_srv_rate,0.043732983246593644
root_shell,0.042968934993524666
srv_rerror_rate,0.04204071330939046
wrong_fragment,0.03348468516410671
is_host_login,0.03302185667224904
srv_serror_rate,0.029586918295713537
srv_diff_host_rate,0.026120941493431405
dst_host_srv_rerror_rate,0.024705691335550655
land,0.02439208986347115
diff_srv_rate,0.022579209690914887
num_file_creations,0.0222787756035648
serror_rate,0.02202656469813408
dst_host_same_src_port_rate,0.019873837823999457
dst_host_srv_serror_rate,0.019633944141210436
urgent,0.01874157784531649
dst_host_count,0.01845512947788517
logged_in,0.014339610721297844
dst_host_rerror_rate,0.012126876365436754
dst_host_serror_rate,0.011320548007900695
dst_host_same_srv_rate,0.010061594569836007
num_shells,0.009720870974450516
count,0.0084105548269166
dst_host_diff_srv_rate,0.008004362744603028
su_attempted,0.00780208466894667
dst_host_srv_count,0.00772459216797369
srv_count,0.007320506972298117
service,0.0068559149153983355
num_compromised,0.006603378040469098
num_failed_logins,0.004195436237355083
num_root,0.004027230401037098
num_access_files,0.0029118446327784267
dst_host_srv_diff_host_rate,0.002524219222336512
hot,0.0024619589605697923
duration,0.0010831298561910995
protocol_type,0.0010468314312825423
flag,0.0007282302903717314
dst_bytes,0.0006721272265874633
src_bytes,0.0005475203072063864
num_outbound_cmds,0.0
