feature,avg_abs_weight
rerror_rate,0.06234007545476751
is_guest_login,0.056229902218586175
srv_rerror_rate,0.04423059315234477
same_srv_rate,0.043991485359590556
root_shell,0.04344154113742937
wrong_fragment,0.030398353523704714
srv_serror_rate,0.028288476515007314
num_shells,0.027278297742265558
land,0.026207139418604572
srv_diff_host_rate,0.025183923446964945
urgent,0.02478677115687088
is_host_login,0.024484828254572003
diff_srv_rate,0.022858261074593666
serror_rate,0.021914845179325376
dst_host_srv_serror_rate,0.019037565145208633
dst_host_count,0.01850996107744343
dst_host_same_src_port_rate,0.014948767071270082
su_attempted,0.014729160731505384
logged_in,0.014369904752174688
num_file_creations,0.014306043958121486
dst_host_same_srv_rate,0.012875861780647
dst_host_serror_rate,0.012067585622164739
dst_host_srv_count,0.011676501711336563
dst_host_srv_rerror_rate,0.009549635997237231
dst_host_rerror_rate,0.008698459260845892
srv_count,0.008557003490552275
num_root,0.008309687934025835
dst_host_diff_srv_rate,0.008137692162619488
count,0.00809138226860973
num_access_files,0.007769894330292203
num_failed_logins,0.004625103961159895
num_compromised,0.0034908223596829056
dst_host_srv_diff_host_rate,0.002552889888004483
hot,0.0022139265532279875
flag,0.0013327878854512188
duration,0.0012851015201112558
protocol_type,0.0012359905552331684
src_bytes,0.0010918404010142294
dst_bytes,0.0010065091225783987
service,0.0009286783466745048
num_outbound_cmds,0.0
