feature,avg_abs_weight
rerror_rate,0.06516496680894801
is_guest_login,0.056894237015853596
srv_rerror_rate,0.04424919763503861
same_srv_rate,0.043910871378915355
root_shell,0.0408816144117319
wrong_fragment,0.03135235545482445
land,0.028859845234993905
srv_serror_rate,0.028627204386718983
srv_diff_host_rate,0.025007078207475737
dst_host_srv_rerror_rate,0.02483097843263607
num_shells,0.02478967753879096
is_host_login,0.024673811091460086
diff_srv_rate,0.023807794032314655
serror_rate,0.02132931177319578
urgent,0.020751439180793457
dst_host_srv_serror_rate,0.018791614804859642
dst_host_count,0.018385836525309403
dst_host_rerror_rate,0.017392793480998894
dst_host_same_src_port_rate,0.015526688148681725
logged_in,0.014325522236361446
dst_host_diff_srv_rate,0.012163290981474497
dst_host_serror_rate,0.011981420719566345
dst_host_same_srv_rate,0.011051614686808788
num_file_creations,0.010425008838851505
su_attempted,0.008932052811759409
count,0.00844659858768639
dst_host_srv_count,0.007498953341287929
num_access_files,0.006801285102403706
srv_count,0.00650079253159683
num_root,0.006203092834532256
num_failed_logins,0.005006010587701359
service,0.0035171448859489876
num_compromised,0.0032230119669573267
hot,0.002673438815354815
dst_host_srv_diff_host_rate,0.002502981531593133
src_bytes,0.0013971529776449943
dst_bytes,0.001040334612324777
protocol_type,0.0009608578323433016
flag,0.0008156293484358004
duration,0.0008156120371354058
num_outbound_cmds,0.0
