feature,mean_abs_weight
rerror_rate,0.065203490809928
is_guest_login,0.05592116926041197
srv_rerror_rate,0.04384742191597714
root_shell,0.04359390991675704
same_srv_rate,0.04351938574111412
wrong_fragment,0.030466466004091145
srv_serror_rate,0.028088274986523092
dst_host_srv_rerror_rate,0.02642665885878551
is_host_login,0.026391533328844054
num_shells,0.026336333996532308
land,0.025843305915366908
srv_diff_host_rate,0.0252555795360693
diff_srv_rate,0.02411799368092738
dst_host_rerror_rate,0.022281639136175573
urgent,0.022016812519361717
serror_rate,0.02182032081569117
dst_host_srv_serror_rate,0.019038985795017314
dst_host_count,0.01859049074751016
dst_host_same_src_port_rate,0.018116286091821282
su_attempted,0.01509191759585846
dst_host_diff_srv_rate,0.015065257492794156
count,0.014600366645294332
logged_in,0.014148281383928873
num_file_creations,0.013951561448350405
dst_host_serror_rate,0.011908016798030467
dst_host_same_srv_rate,0.01028598531215487
srv_count,0.009636827472376167
dst_host_srv_count,0.00854438726130964
num_root,0.007992014521304215
num_access_files,0.006636328541328511
num_failed_logins,0.003974540062908773
num_compromised,0.0031378716233314316
service,0.0030786997503253087
dst_host_srv_diff_host_rate,0.002426368397352127
hot,0.0019347617965280025
flag,0.0013429870400196208
duration,0.001151093462156645
protocol_type,0.0011230148133045729
dst_bytes,0.000953670525997931
src_bytes,0.0009192084202398961
num_outbound_cmds,0.0
