feature,avg_abs_weight
rerror_rate,0.06500034012217577
is_guest_login,0.05612868561171487
srv_rerror_rate,0.04396208964048226
same_srv_rate,0.04372639481494154
root_shell,0.04333728084472377
wrong_fragment,0.030388649260992336
srv_serror_rate,0.02845966584593066
dst_host_same_src_port_rate,0.028276802194713638
land,0.025854117133708263
srv_diff_host_rate,0.02526196582580111
dst_host_srv_rerror_rate,0.024485025834922104
num_shells,0.024434554771859133
is_host_login,0.024229608035466643
diff_srv_rate,0.02294232699804863
urgent,0.02186285374161153
serror_rate,0.021690478935098796
dst_host_rerror_rate,0.019181910582368816
dst_host_srv_serror_rate,0.01897793424509009
dst_host_count,0.018411738632381627
su_attempted,0.014392584484285303
logged_in,0.014361815318148606
dst_host_same_srv_rate,0.01331316473063416
num_file_creations,0.012682117838489066
dst_host_serror_rate,0.012138883892874642
dst_host_diff_srv_rate,0.010297473671506534
srv_count,0.009317499809546735
num_root,0.008284471410458152
count,0.008240040500164842
dst_host_srv_count,0.008005182846103511
num_access_files,0.007126930454331868
service,0.0040949539873398775
num_failed_logins,0.0032332338177886145
num_compromised,0.0030789375205751545
dst_host_srv_diff_host_rate,0.002944985617543751
protocol_type,0.0020532084558601876
hot,0.0018706931811314866
duration,0.001173389806107816
src_bytes,0.001043522212988649
flag,0.0008732673394793346
dst_bytes,0.0008044991620056179
num_outbound_cmds,0.0
