index,anomaly_score
50,1.0019647667121505
51,1.0484035494214057
52,0.9576855023185137
53,1.0290597735134468
54,1.387236902675538
55,1.031583427797999
56,1.0123594324274388
57,0
58,1.2196473200107558
59,0.9537967385290425
60,1.9324876417993473
61,1.0777778561241922
62,1.3428372915981328
63,0.9746082533253625
64,0.9313495551278113
65,1.4978103948452963
66,0
67,1.1076049221163202
68,1.1595520418249632
69,1.1348269908893613
70,1.3236574094614981
71,0.9629829676633542
72,0
73,1.105700137881636
74,0.9973537965143572
75,1.0617499476668757
76,0
77,0.9991732160952327
78,0.9240626101340389
79,0.9563389918211314
80,0.976780988704748
81,0.9359716519735549
82,0
83,0.9944921627284331
84,0.9502704915236158
85,5.456064716296882
86,0.9802204078552653
87,0
88,0.9605566814402882
89,1.0008144937842707
90,2.0632625460238563
91,1.2594165205770738
92,0.9966329985230925
93,0.9586926866638644
94,1.40098460602757
95,2.155233191307739
96,1.0377106031330718
97,1.154870437001516
98,1.070523177717475
99,1.0060158006347601
